Execution Number,Crime Type,Sentiment Score,Cluster Label
55,,0.0,"1 (drug, burglary, fraud)"
550,assault,0.8957,4 (assault)
551,,0.6369,"1 (drug, burglary, fraud)"
554,robbery,0.9805,3 (robbery)
557,,0.9136,"1 (drug, burglary, fraud)"
56,,0.0,"1 (drug, burglary, fraud)"
560,,0.9769,"1 (drug, burglary, fraud)"
561,,-0.7506,"1 (drug, burglary, fraud)"
567,,0.0,"1 (drug, burglary, fraud)"
57,,0.0,"1 (drug, burglary, fraud)"
570,,-0.296,"1 (drug, burglary, fraud)"
571,,0.9872,"1 (drug, burglary, fraud)"
572,murder,0.7506,2 (murder)
573,murder,-0.296,2 (murder)
574,murder,0.9851,2 (murder)
575,,0.9493,"1 (drug, burglary, fraud)"
577,Fraud,0.9744,"1 (drug, burglary, fraud)"
579,,-0.296,"1 (drug, burglary, fraud)"
58,,0.9532,"1 (drug, burglary, fraud)"
580,,0.9628,"1 (drug, burglary, fraud)"
583,,-0.9646,"1 (drug, burglary, fraud)"
584,,-0.9774,"1 (drug, burglary, fraud)"
586,,0.9973,"1 (drug, burglary, fraud)"
588,,0.9957,"1 (drug, burglary, fraud)"
59,,0.0,"1 (drug, burglary, fraud)"
590,rape,0.7808,5 (rape)
591,,0.9971,"1 (drug, burglary, fraud)"
6,,0.9805,"1 (drug, burglary, fraud)"
60,,0.8598,"1 (drug, burglary, fraud)"
61,,0.0,"1 (drug, burglary, fraud)"
62,,0.986,"1 (drug, burglary, fraud)"
63,,0.0,"1 (drug, burglary, fraud)"
64,,0.0,"1 (drug, burglary, fraud)"
65,,-0.5994,"1 (drug, burglary, fraud)"
66,,0.0,"1 (drug, burglary, fraud)"
67,,-0.9885,"1 (drug, burglary, fraud)"
68,,0.0,"1 (drug, burglary, fraud)"
69,,0.0,"1 (drug, burglary, fraud)"
7,,0.0,"1 (drug, burglary, fraud)"
70,,0.886,"1 (drug, burglary, fraud)"
71,,0.2263,"1 (drug, burglary, fraud)"
72,,0.5859,"1 (drug, burglary, fraud)"
73,,0.5423,"1 (drug, burglary, fraud)"
74,,0.0,"1 (drug, burglary, fraud)"
75,,0.0,"1 (drug, burglary, fraud)"
76,,0.0,"1 (drug, burglary, fraud)"
77,,0.7783,"1 (drug, burglary, fraud)"
78,,0.8176,"1 (drug, burglary, fraud)"
79,,0.25,"1 (drug, burglary, fraud)"
8,,0.6697,"1 (drug, burglary, fraud)"
80,,0.6369,"1 (drug, burglary, fraud)"
81,,0.0,"1 (drug, burglary, fraud)"
82,,0.0,"1 (drug, burglary, fraud)"
83,,0.0,"1 (drug, burglary, fraud)"
84,,0.9501,"1 (drug, burglary, fraud)"
85,,0.2766,"1 (drug, burglary, fraud)"
86,,0.9446,"1 (drug, burglary, fraud)"
87,,0.6124,"1 (drug, burglary, fraud)"
88,,0.9779,"1 (drug, burglary, fraud)"
89,,0.8271,"1 (drug, burglary, fraud)"
9,,-0.5859,"1 (drug, burglary, fraud)"
90,,0.6369,"1 (drug, burglary, fraud)"
91,,0.8316,"1 (drug, burglary, fraud)"
92,,0.0,"1 (drug, burglary, fraud)"
93,,0.0,"1 (drug, burglary, fraud)"
94,,0.5267,"1 (drug, burglary, fraud)"
95,,0.0,"1 (drug, burglary, fraud)"
